"63","4","0","DVD и Видеомагнитофоны","DVD i Videomagnitofony","DVD и Видеомагнитофоны",,"18"
"64","4","0","Домашние театры и Муз.Центры","Domashnie teatry i Muz.Centry","Домашние театры и Муз.Центры",,"22"
"65","4","0","Видеокамеры","Videokamery","Видеокамеры",,"20"
"66","4","0","Магнитолы","Magnitoly","Магнитолы",,"24"
"67","4","0","Акустика","Akustika","Акустика",,"19"
"68","4","0","Телевизоры","Televizory","Телевизоры",,"29"
"69","4","0","Мобильные телефоны и устройства","Mobilnye telefony i ustroystva","Мобильные телефоны и устройства",,"25"
"70","7","0","Хобби","Hobbi","Хобби",,"36"
"71","7","0","Животные","Zhivotnye","Животные",,"32"
"72","7","0","Знакомства","Znakomstva","Знакомства",,"33"
"73","7","0","Отдых и Путешествия","Otdyh i Puteshestviya","Отдых и Путешествия",,"34"
"74","7","0","Спорт","Sport","Спорт",,"35"
"75","12","0","Безопасность и Охрана","Bezopasnost i Ohrana","Безопасность и Охрана",,"76"
"76","12","0","Здоровье и красота","Zdorove i krasota","Здоровье и красота",,"77"
"77","12","0","Организация и обслуживание мероприятий","Organizaciya i obsluzhivanie meropriyatiy","Организация и обслуживание мероприятий",,"78"
"78","12","0","Полиграфия. Издательство. Реклама","Poligrafiya. Izdatelstvo. Reklama","Полиграфия. Издательство. Реклама",,"79"
"79","1","0","Транспортные услуги","Transportnye uslugi","Транспортные услуги",,"80"
"80","12","0","Финансы и кредит","Finansy i kredit","Финансы и кредит",,"81"
"81","12","0","Юридические и нотариальные","Yuridicheskie i notarialnye","Юридические и нотариальные",,"82"
"82","8","0","Канцтовары","Kanctovary","Канцтовары",,"70"
"83","8","0","Медицинское оборудование и материалы","Medicinskoe oborudovanie i materialy","Медицинское оборудование и материалы",,"71"
"84","8","0","Охранное оборудование","Ohrannoe oborudovanie","Охранное оборудование",,"74"
"85","8","0","Торговое и пищевое оборудование","Torgovoe i pischevoe oborudovanie","Торговое и пищевое оборудование",,"75"
"86","8","0","Другое оборудование и материалы","Drugoe oborudovanie i materialy","Другое оборудование и материалы",,"69"
"87","11","0","Инструметы, механизмы, инвентарь и Оборудование","Instrumety, mehanizmy, inventar i Oborudovanie","Инструметы, механизмы, инвентарь и Оборудование",,"63"
"88","11","0","коммуникации","kommunikacii","коммуникации",,"64"
"89","11","0","Строительные и отделочные материалы","Stroitelnye i otdelochnye materialy","Строительные и отделочные материалы",,"66"
"90","11","0","проектирование","proektirovanie","проектирование",,"65"
"91","9","0","Ищу работу","Ischu rabotu","Ищу работу",,"60"
"92","9","0","Предлагаю работу","Predlagayu rabotu","Предлагаю работу",,"62"
"93","9","0","Курсы и обучение","Kursy i obuchenie","Курсы и обучение",,"61"
"94","3","0","Дома","Doma","Дома",,"51"
"95","3","0","Квартиры","Kvartiry","Квартиры",,"52"
"96","3","0","Комнаты","Komnaty","Комнаты",,"54"
"97","3","0","Участки","Uchastki","Участки",,"55"
"98","3","0","Гаражи и стоянки","Garazhi i stoyanki","Гаражи и стоянки",,"50"
"99","3","0","Коммерческая недвижимость","Kommercheskaya nedvizhimost","Коммерческая недвижимость",,"53"
"100","2","0","Хозяйство","Hozyaystvo","Хозяйство",,"40"
"101","2","0","Предметы быта","Predmety byta","Предметы быта",,"38"
"102","2","0","Мебель","Mebel","Мебель",,"37"
"103","2","0","Сад и Огород","Sad i Ogorod","Сад и Огород",,"39"
"104","2","0","Цветы и растения","Cvety i rasteniya","Цветы и растения",,"41"
"105","8","0","Одежда","Odezhda","Одежда",,"73"
"106","8","0","Обувь","Obuv","Обувь",,"72"
"107","8","0","Аксессуары","Aksessuary","Аксессуары",,"67"
"108","8","0","Детские товары","Detskie tovary","Детские товары",,"68"
"109","10","0","Курсы","Kursy","Курсы",,"58"
"110","10","0","уроки","uroki","уроки",,"59"
"111","10","0","консультации","konsultacii","консультации",,"57"
"112","10","0","Воспитатели и репетиторство","Vospitateli i repetitorstvo","Воспитатели и репетиторство",,"56"
"113","6","0","Игровые приставки","Igrovye pristavki","Игровые приставки",,"42"
"114","6","0","Копиры","Kopiry","Копиры",,"43"
"115","6","0","Презентационное оборудование","Prezentacionnoe oborudovanie","Презентационное оборудование",,"47"
"116","6","0","Оргтехника","Orgtehnika","Оргтехника",,"45"
"117","6","0","Носители информации","Nositeli informacii","Носители информации",,"44"
"118","6","0","ПО","PO","ПО",,"46"
"119","6","0","Расходные материалы","Rashodnye materialy","Расходные материалы",,"48"
"120","6","0","Ремонт и Обслуживание","Remont i Obsluzhivanie","Ремонт и Обслуживание",,"49"
"121","12","0","Магические и ритуальные","Magicheskie i ritualnye","Магические и ритуальные",,"84"
"172","0","1","Интернет","Internet","Всё, что связано с глобальной сетью",,"4"
"173","172","0","ПО","PO","Программное обеспечение",,"0"
"174","172","0","Изготовление сайтов","izgotovlenie_saytov","Изготовление сайтов",,"0"
"175","6","0","Компьютеры и ноутбуки","kompyutery_i_noutbuki","Компьютеры и ноутбуки",,"0"
"176","1","0","АвтоЗвук","avtozvuk","АвтоЗвук",,"0"
"177","1","0","Водный транспорт","Vodny transport","Водный транспорт",,"0"
"178","1","0","Микроавтобусы, автобусы","Microavtobusy i avtobusy","Микроавтобусы, автобусы",,"0"
"179","1","0","Прокат автомобилей","Prokat avtomobiley","Прокат автомобилей",,"0"
"180","1","0","Трактора, спецтехника","Traktora i spectehnika","Трактора, спецтехника",,"0"
